MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/7/2023 11:22:40,1.16.3,ProgRatio,10,4.05,nan,1,Left,Left,1,0,0,0,nan,nan,0.17
9/7/2023 11:22:46,1.16.3,ProgRatio,10,4.05,4,1,Pellet,Left,1,0,1,0,0.37,nan,nan
9/7/2023 11:23:58,1.16.3,ProgRatio,10,4.05,nan,2,Right,Left,1,1,1,0,nan,nan,0.09
9/7/2023 11:24:23,1.16.3,ProgRatio,10,4.05,nan,2,Left,Left,2,1,1,0,nan,nan,0.04
9/7/2023 11:25:05,1.16.3,ProgRatio,10,4.05,nan,2,Left,Left,3,1,1,0,nan,nan,0.06
9/7/2023 11:25:06,1.16.3,ProgRatio,10,4.05,2,2,Pellet,Left,3,1,2,0,0.37,140,nan
9/7/2023 11:25:18,1.16.3,ProgRatio,10,4.05,nan,4,Left,Left,4,1,2,0,nan,nan,0.07
9/7/2023 11:25:21,1.16.3,ProgRatio,10,4.05,nan,4,Right,Left,4,2,2,0,nan,nan,0.39
9/7/2023 11:26:15,1.16.3,ProgRatio,10,4.05,nan,4,Right,Left,4,3,2,0,nan,nan,0.24
9/7/2023 11:27:11,1.16.3,ProgRatio,10,4.05,nan,4,Left,Left,5,3,2,0,nan,nan,0.15
9/7/2023 11:27:13,1.16.3,ProgRatio,10,4.05,nan,4,Left,Left,6,3,2,0,nan,nan,0.56
9/7/2023 11:27:20,1.16.3,ProgRatio,10,4.05,nan,4,Left,Left,7,3,2,0,nan,nan,0.06
9/7/2023 11:27:22,1.16.3,ProgRatio,10,4.05,2,4,Pellet,Left,7,3,3,0,0.88,136,nan
9/7/2023 11:27:37,1.16.3,ProgRatio,10,4.05,nan,6,Left,Left,8,3,3,0,nan,nan,0.15
9/7/2023 11:27:39,1.16.3,ProgRatio,10,4.05,nan,6,Left,Left,9,3,3,0,nan,nan,0.16
9/7/2023 11:27:46,1.16.3,ProgRatio,10,4.05,nan,6,Left,Left,10,3,3,0,nan,nan,0.14
9/7/2023 11:27:47,1.16.3,ProgRatio,10,4.05,nan,6,Left,Left,11,3,3,0,nan,nan,0.25
9/7/2023 11:27:51,1.16.3,ProgRatio,10,4.05,nan,6,Left,Left,12,3,3,0,nan,nan,0.24
9/7/2023 11:27:55,1.16.3,ProgRatio,10,4.05,nan,6,Left,Left,13,3,3,0,nan,nan,0.13
9/7/2023 11:27:56,1.16.3,ProgRatio,10,4.05,1,6,Pellet,Left,13,3,4,0,0.19,34,nan
9/7/2023 11:29:41,1.16.3,ProgRatio,10,4.05,nan,9,Left,Left,14,3,4,0,nan,nan,0.19
9/7/2023 11:29:45,1.16.3,ProgRatio,10,4.05,nan,9,Left,Left,15,3,4,0,nan,nan,0.21
9/7/2023 11:29:47,1.16.3,ProgRatio,10,4.05,nan,9,Left,Left,16,3,4,0,nan,nan,0.33
9/7/2023 11:29:54,1.16.3,ProgRatio,10,4.05,nan,9,Right,Left,16,4,4,0,nan,nan,0.03
9/7/2023 11:30:26,1.16.3,ProgRatio,10,4.05,nan,9,Right,Left,16,5,4,0,nan,nan,0.44
